책제목,저자,Lexile,소장위치,등록번호,대출상태,청구기호
Cody And The Fountain Of ...,Tricia Springstubb,470,[영어]부산영어도서관 400-490L,BGE000056883,대출불가(관외대출중),400~490L 813-1882-1
Ninth Ward,Jewell Parker Rhodes,470,[영어]부산영어도서관 400-490L,BGE000037780,대출가능,400~490L 813-1006
Little Squeegy Bug,Bill Martin Jr,470,[영어]부산영어도서관 400-490L,BGE000059891,대출가능,400~490L 813-2292
Back and Forth,Patricia J Murphy,470,[영어]부산영어도서관 400-490L,BGE000010753,대출가능,400~490L 500-2-S-26
Storm Surfer,Jake Maddox,470,[영어]부산영어도서관 400-490L,BGE000044184,대출가능,400~490L 813-1218-7=2
Naked Mole Rat Gets Dressed,Mo Willems,470,[영어]부산영어도서관 400-490L,BGE000022422,대출가능,400~490L 813-349
Kit's Wilderness,David Almond,470,[영어]부산영어도서관 400-490L,BGE000040224,대출가능,400~490L 813-1188
Super Silly Museums,Nick Sharratt,470,[영어]부산영어도서관 400-490L,BGE000081013,대출가능,400~490L 823-348
Silver Pony Ranch #2: Sweet Buttercup,D  L Green,470,[영어]부산영어도서관 400-490L,BGE000052741,대출불가(관외대출중),400~490L 813-146-2
The Boy Who Climbed Into The Moon,David Almond,470,[영어]부산영어도서관 400-490L,BGE000040359,대출가능,400~490L 813-1232
One Giant Leap,Robert Burleigh,470,[영어]부산영어도서관 400-490L,BGE000047184,대출가능,400~490L 629-14
Dinotrux Go To School,Chris Gall,470,[영어]부산영어도서관 400-490L,BGE000050873,대출가능,400~490L 813-1847-2-1
Mary Smith,A U Ren,470,[영어]부산영어도서관 400-490L,BGE000022622,대출가능,400~490L 813-396
When Jessie Came Across The Sea,Amy Hest,470,[영어]부산영어도서관 400-490L,BGE000002284,대출가능,400~490L 813-42
Cows Can't Fly,David Milgrim,470,[영어]부산영어도서관 400-490L,BGE000001120,대출가능,400~490L 813-27
Magic School Bus: Liz Makes A Rainbow,Tracey West,470,[영어]부산영어도서관 400-490L,BGE000053610,대출가능,400~490L 813-1943
I Feel Sick!,Tony Ross,470,[영어]부산영어도서관 400-490L,BGE000067688,대출가능,400~490L 152-9-9
Cicadas,Colleen Sexton,470,[영어]부산영어도서관 400-490L,BGE000043474,대출가능,400~490L 595-10
Miss Brooks Loves Books! (And I Don't),Barbara Bottner,470,[영어]부산영어도서관 400-490L,BGE000030372,대출가능,400~490L 813-587
Crocodile Beat,Gail Jorgensen,470,[영어]부산영어도서관 400-490L,BGE000053569,대출가능,400~490L 823-170
Cowgirl Kate And Cocoa,Erica Silverman,470,[영어]부산영어도서관 400-490L,BGE000022846,대출가능,400~490L 813-508-1
V Is For Vegan,Ruby Roth,470,[영어]부산영어도서관 400-490L,BGE000055309,대출가능,400~490L 613-5
My Father,Laura Mayer,470,[영어]부산영어도서관 400-490L,BGE000053598,대출가능,400~490L 813-1942
Case Of The Stinky Socks,Lewis Montgomery,470,[영어]부산영어도서관 400-490L,BGE000042127,대출불가(관외대출중),400~490L 813-1363-1
Case Of The Missing Moose,Lewis Montgomery,470,[영어]부산영어도서관 400-490L,BGE000042130,대출불가(관외대출중),400~490L 813-1363-6
Song Lee In Room 2B,Suzy Kline,470,[영어]부산영어도서관 400-490L,BGE000002365,대출가능,400~490L 813-46-3
Peanut,Ayun Halliday,470,[영어]부산영어도서관 400-490L,BGE000042096,대출가능,400~490L 813-1355-8
How To Be Cool In The Third Grade,Betsy Duffey,470,[영어]부산영어도서관 400-490L,BGE000003631,대출불가(관외대출중),400~490L 813-77
Sunny,Ann M Martin,470,[영어]부산영어도서관 400-490L,BGE000045893,대출가능,400~490L 813-720=2
Very Improbable Story,Edward Einhorn,470,[영어]부산영어도서관 400-490L,BGE000028619,대출가능,400~490L 813-544
Time To Eat At The White House,Marge Kennedy,470,[영어]부산영어도서관 400-490L,BGE000040397,대출가능,400~490L 641-5
Spray-Paint Mystery,Angela Shelf Medearis,470,[영어]부산영어도서관 400-490L,BGE000004111,대출가능,400~490L 813-101
Olivia Saves The Circus,Ian Falconer,470,[영어]부산영어도서관 400-490L,BGE000022235,대출가능,400~490L 813-925-2
Tales Of A Fourth Grade  Nothing,Judy Blume,470,[영어]부산영어도서관 400-490L,BGE000014668,대출가능,400~490L 813-110-6=2
Hooray for the Golly Sisters!,Betsy Byars,470,[영어]부산영어도서관 400-490L,BGE000063807,대출가능,400~490L 808-4-3-35
"What Comes In 2's, 3's &  4's?",Suzanne Aker,470,[영어]부산영어도서관 400-490L,BGE000001738,대출가능,400~490L 513-1
Library Lion,Michelle Knudsen,470,[영어]부산영어도서관 400-490L,BGE000054396,대출가능,400~490L 813-168=2
Latitude And Longitude,Rebecca Aberg,470,[영어]부산영어도서관 400-490L,BGE000011007,대출가능,400~490L 900-1-G-8
What If?,Jonathan Shipton,470,[영어]부산영어도서관 400-490L,BGE000058415,대출가능,400~490L 813-2628-2
The Bears' Vacation,Stan and Jan Berenstain,470,[영어]부산영어도서관 400-490L,BGE000047676,대출가능,400~490L 813-1877-11
Make Way for Tooth Decay,Bobbi Katz,470,[영어]부산영어도서관 400-490L,BGE000003517,대출불가(관외대출중),400~490L 813-67-3-16
Edward's Eyes,Patricia MacLachlan,470,[영어]부산영어도서관 400-490L,BGE000026850,대출가능,400~490L 813-476
Polar Bear Night,Lauren Thompson,470,[영어]부산영어도서관 400-490L,BGE000022155,대출불가(관외대출중),400~490L 813-325
"Murmel, Murmel, Murmel",Robert Munsch,470,[영어]부산영어도서관 400-490L,BGE000044843,대출가능,400~490L 813-937-1
Splish! Splash!,Gail Herman,470,[영어]부산영어도서관 400-490L,BGE000039615,대출가능,400~490L 823-90
Horrible Harry And The Green Slime,Suzy Kline,470,[영어]부산영어도서관 400-490L,BGE000067022,대출가능,400~490L 813-63-2=2
Blind Men And The Elephant,Karen Backstein,470,[영어]부산영어도서관 400-490L,BGE000003489,대출가능,400~490L 813-71-3-1
Dolphins,Leighton Taylor,470,[영어]부산영어도서관 500-590L,BGE000017642,대출가능,500~590L 508-13-19
Horrible Harry And The Scarlet Scissors,Suzy Kline,470,[영어]부산영어도서관 400-490L,BGE000067916,대출가능,400~490L 813-63-28
Big Bear Little Bear,David Bedford,470,[영어]부산영어도서관 400-490L,BGE000065911,대출가능,400~490L 823-261
How Kittens Grow,Millicent E Selsam,470,[영어]부산영어도서관 400-490L,BGE000001564,대출가능,400~490L 636-1
How I Became A Pirate,Melinda Long,470,[영어]부산영어도서관 400-490L,BGE000000931,대출가능,400~490L 813-22
Horrible Harry And The Triple,Suzy Kline,470,[영어]부산영어도서관 400-490L,BGE000069973,대출가능,400~490L 813-63-37
Little Red Hen,Lucinda McQueen,470,[영어]부산영어도서관 400-490L,BGE000065937,대출가능,400~490L 823-255-9
Ugly,Donna Jo Napoli,470,[영어]부산영어도서관 400-490L,BGE000077616,대출가능,400~490L 813-2603=2
Harriet Tubman,Philip Abraham,470,[영어]부산영어도서관 500-590L,BGE000043114,대출가능,500~590L 920-13
How Long Is It?,Donna Loughran,470,[영어]부산영어도서관 400-490L,BGE000015036,대출불가(관외대출중),400~490L 500-6-M-4
Trucks,Anne Rockwell,470,[영어]부산영어도서관 400-490L,BGE000067458,대출가능,400~490L 597-3-1-3
Amelia Earhart,Philip Abraham,470,[영어]부산영어도서관 400-490L,BGE000073373,대출가능,400~490L 920-17-7
Ricky Ricotta's Mighty Robot vs. the Jurassic Jackrabbits from Jupiter,Dav Pilkey,470,[영어]부산영어도서관 400-490L,BGE000062440,대출가능,400~490L 813-2336-5=2
City in the Clouds,Tony Abbott,470,[영어]부산영어도서관 400-490L,BGE000024652,대출가능,400~490L 813-350-4=2
Even Steven and Odd Todd,Kathryn Cristaldi,470,[영어]부산영어도서관 400-490L,BGE000003530,대출가능,400~490L 813-68-3-2
What Will The Weather Be Like Today?,Paul Rogers,470,[영어]부산영어도서관 400-490L,BGE000002053,대출가능,400~490L 551-3
Abe Lincoln At Last!,Mary Pope Osborne,470,[영어]부산영어도서관 400-490L,BGE000047619,대출가능,400~490L 813-64-2-19
Olivia,Ian Falconer,470,[영어]부산영어도서관 400-490L,BGE000043237,대출가능,400~490L 813-925-30=2
Touching (Rookie Read-About Health),Sharon Gordon,470,[영어]부산영어도서관 400-490L,BGE000002566,대출가능,400~490L 610-1-H-6
"Nancy Clancy, Secret Admirer",Jane O Connor,470,[영어]부산영어도서관 400-490L,BGE000047202,대출가능,400~490L 813-1586-2
All About Light,Lisa Trumbauer,460,[영어]부산영어도서관 400-490L,BGE000010730,대출가능,400~490L 500-2-S-24
